agent_code,performance
003c1999,High
00d5bda3,High
012a3553,Medium
012f0e15,High
0177ed5f,High
01a4ff82,High
01b0edf6,Medium
01c0860d,Medium
01c63d8e,High
01cf7b40,High
026b60ee,High
026ffb43,High
0279d0a7,High
03216cb4,Medium
0330163d,Low
041aede5,High
0439a5fc,High
046d7894,High
04cd94ce,High
04f897f5,Medium
0522b331,High
05339eaf,Medium
057dd1b3,Medium
0599fb2d,High
05cb3b30,Medium
068c4b6c,High
06acbf85,High
06dfa6a3,High
071a8882,High
071c1880,High
084c02de,High
0879757d,High
087ef587,High
08a278cd,Medium
08d93405,High
08dd9dac,High
096ab135,High
09b8e785,High
0a14b2af,Low
0a318094,Medium
0a37f9af,Medium
0a419b45,High
0a75b64a,High
0aaac9a7,High
0aacb7a8,Low
0acddc02,Low
0af61868,Medium
0b1be2b8,High
0b1d7054,Medium
0b51084d,Medium
0b5ebeaa,Low
0bae2f2d,High
0bb2468d,Low
0c0e65a4,Low
0c22f517,High
0d045ee9,High
0db1f74b,Medium
0e0c2212,Medium
0e123beb,High
0e34a568,Medium
0e4280de,High
0e4770a7,High
0e4db07d,High
0f111c9b,Low
0f4994af,Medium
0f4c38b4,High
0f6f67b0,High
0fc88310,High
0fd5804f,High
10944892,Low
10be4b4c,High
10dabaca,High
11029f56,High
11b6f9e5,Medium
11c7cd6c,High
11ddf2a7,High
11edb733,High
11ee7678,High
1235ad70,Medium
12d58408,High
12e43255,High
13e6e2f9,High
140655a0,Medium
1450745b,High
145cbf5b,High
15047db1,High
157cd419,Medium
1630a967,High
166ddb3a,High
17b72bab,High
1844e2c4,Medium
1892831c,High
18f0e6f8,High
196a3da0,High
19dda843,High
19e0d9d3,High
1a1279f8,High
1a7f1c16,High
1ab4c789,High
1ac57404,High
1b2014ec,High
1b6476ac,High
1b77fbd0,High
1b99b648,High
1bafe9a2,Medium
1bdc27c3,High
1c413762,High
1c54ce8b,High
1c95f015,High
1cdac474,High
1d06e191,Low
1d07a8b2,High
1d08e7c3,High
1d8f94c7,Low
1de378ca,High
1e05b8c4,High
1e3e08fc,Low
1e3e90f3,High
1e587e04,Low
1ec9c089,High
1eda1691,High
1ee2b2ae,High
1f5135c3,High
1ff8e6d6,Medium
2022f5a4,High
20326773,High
207ecfc9,High
20f326a5,High
224be699,High
2296c882,High
232f671f,High
23a5ee4a,High
23b47704,High
242ff816,High
246a70a6,High
2504b4ba,Medium
250d39cb,High
2522b4fe,Medium
25cd5d60,High
26142387,High
264728f9,High
269c4e60,Low
26c3dddd,High
26f591b2,High
272f6f80,Low
27565665,High
27b10a36,High
27be2ac1,Low
27f35403,High
2873d9d1,High
2883d02e,Low
293115df,High
293124a7,Low
29ab6f3f,High
2aa84d40,Low
2b0a8ba8,Medium
2b4416f2,High
2b84dfe0,High
2bf63daa,High
2c435787,Low
